,MAKE,MODEL,YEAR,Recall,Predict_Recall,Probability_Recall,complaint_count,crash_ratio,keybert_safety_score,median_mileage,complaints_first_12m,recall_count,first_complaint_date,shap_keybert_safety_score,shap_median_mileage,shap_complaints_first_12m_ratio
0,ACURA,INTEGRA,2023,1,1,0.919856112,232,0.038793103,26,16950,113,2,2022-12-21,0.234588321,0.247644752,1.517874024
1,ACURA,INTEGRA,2024,1,1,0.72610001,67,0.029850746,10,7750,31,3,2023-08-01,-0.725227977,0.348922268,0.910943884
2,ACURA,MDX,2022,1,1,0.90037462,172,0.063953488,34,41000,20,2,2021-06-03,0.71449647,-0.017107885,1.063718837
3,ACURA,MDX,2023,1,1,0.624803267,52,0.057692308,18,4000,10,2,2022-11-09,-0.245319828,0.390203864,-0.075184262
4,ACURA,MDX,2024,1,1,0.648778819,61,0.016393443,16,9747,12,2,2023-12-29,-0.365296865,0.326938442,0.211747562
5,ACURA,MDX,2025,1,1,0.807136994,98,0.020408163,23,15027,45,3,2024-09-06,0.054622765,0.268813955,0.667790023
6,ACURA,MDX TYPE S,2022,1,0,0.31573809,22,0.090909091,6,41143,0,1,2023-05-07,-0.965182052,-0.01868209,-0.229850115
7,ACURA,RDX,2022,1,1,0.739710646,40,0.2,21,16500,10,2,2022-01-07,-0.065354272,0.252598544,0.416934361
8,ACURA,RDX,2023,1,1,0.524135467,23,0,11,2000,9,2,2023-01-17,-0.665239459,0.412220716,-0.090650847
9,ACURA,RDX,2024,1,1,0.521287806,13,0,10,5000,6,2,2024-01-05,-0.725227977,0.379195439,-0.009051276
10,ACURA,RDX,2025,1,1,0.813711176,67,0.044776119,17,2000,58,1,2025-04-23,-0.305308347,0.412220716,0.927108285
11,ACURA,TLX,2022,1,0,0.487298749,28,0,9,3600,2,3,2022-07-11,-0.785216496,0.394607235,-0.100493219
12,ACURA,TLX,2023,1,0,0.377870721,10,0,2,0,4,3,2023-09-16,-1.205136126,0.434237567,-0.167983773
13,ACURA,TLX TYPE S,2022,1,0,0.391625388,10,0,4,0,0,1,2025-02-04,-1.085159089,0.434237567,-0.229850115
14,ACURA,ZDX,2024,1,1,0.678178695,85,0.070588235,22,390,3,5,2024-12-27,-0.005365754,0.429944281,-0.119450695
15,AUDI,A3,2022,1,0,0.419896746,12,0,6,13000,5,6,2022-09-30,-0.965182052,0.291128033,-0.089429801
16,AUDI,A3,2023,1,0,0.276379777,10,0,5,57083,1,2,2023-04-14,-1.02517057,-0.194156395,-0.183450359
17,AUDI,A4,2023,0,0,0.431898793,15,0.2,6,0,1,,2022-12-31,-0.965182052,0.434237567,-0.183450359
18,AUDI,A5,2023,0,0,0.349678966,11,0,1,0,0,,2024-09-06,-1.265124645,0.434237567,-0.229850115
19,AUDI,A6,2025,1,0,0.42202049,10,0,5,0,3,2,2025-10-01,-1.02517057,0.434237567,-0.163838091
